Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
69.997,1,83,18.1046
70,1,85,18.5034
70.001,1,86,18.5944
70,1,87,18.6083
69.999,1,88,18.5334
69.998,1,89,18.4885
70.002,1,90,18.3905
70,1,91,18.3421
69.992,1,92,18.37
69.998,1,93,18.4202
70.001,1,94,18.5229
69.992,1,95,18.6532
69.997,1,97,18.9725
69.999,1,99,19.3181
70.004,1,101,19.6968
70.005,1,103,20.0455
70.006,1,105,20.3865
70,1,110,21.1747
69.999,1,115,21.7064
69.995,1,120,22.014
69.994,1,125,22.1712
69.993,1,130,22.2316
70,1,135,22.2084
69.996,1,140,22.2051
69.994,1,145,22.0679
69.998,1,150,21.9136
69.994,1,155,21.8833
69.998,1,160,21.8144
70.001,1,165,21.7842
69.997,1,170,21.7983
69.99,1,175,21.7167
69.998,1,178,21.774
70.004,1,180,21.7368
70.003,1,182,21.7435
70.003,1,185,21.7867
69.991,1,190,21.8276
70,1,195,21.8855
69.999,1,200,21.8882
69.992,1,205,21.9572
69.998,1,210,22.0403
69.997,1,215,22.0038
69.993,1,220,22.0073
69.999,1,225,22.018
69.995,1,230,21.7776
69.992,1,235,21.3794
70.002,1,240,20.814
69.994,2,-5,12.3882
70,2,-2,12.3712
70,2,0,12.4048
70,2,2,12.3999
69.998,2,5,12.4144
69.995,2,10,12.4918
69.993,2,15,12.5941
70,2,20,12.6993
70.001,2,25,12.8576
69.999,2,30,13.0241
69.993,2,35,13.1991
69.997,2,40,13.3655
69.996,2,45,13.4952
70,2,50,13.5569
70.001,2,55,13.5391
69.998,2,60,13.2872
70,2,65,12.8455
70,2,70,12.0972
69.998,2,75,11.2628
70.001,2,77,10.9852
70,2,79,10.7652
69.998,2,81,10.9092
69.999,2,83,11.4625
70.001,2,85,12.3653
70.003,2,86,12.3307
69.999,2,87,12.0289
69.999,2,88,11.7417
70,2,89,11.4758
70.001,2,90,11.3462
69.999,2,91,11.2645
69.991,2,92,11.2962
69.998,2,93,11.3475
69.999,2,94,11.4634
70.003,2,95,11.6033
69.997,2,97,11.9288
69.999,2,99,12.2642
70.001,2,101,12.616
70.004,2,103,12.9364
70.005,2,105,13.2096
