Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
77.493,0.03,50,26.6385
77.495,0.03,55,26.679
77.492,0.03,60,26.5732
77.495,0.03,65,26.58
77.49,0.03,70,26.5693
77.49,0.03,75,26.5594
77.494,0.03,77,26.5709
77.496,0.03,79,26.5378
77.494,0.03,81,26.5567
77.493,0.03,83,26.534
77.491,0.03,85,26.5527
77.498,0.03,86,26.5176
77.501,0.03,87,26.4921
77.495,0.03,88,26.5202
77.495,0.03,89,26.5521
77.493,0.03,90,26.4933
77.492,0.03,91,26.5457
77.495,0.03,92,26.5544
77.494,0.03,93,26.5483
77.494,0.03,94,26.5494
77.497,0.03,95,26.541
77.499,0.03,97,26.497
77.495,0.03,99,26.4717
77.496,0.03,101,26.462
77.496,0.03,103,26.4703
77.494,0.03,105,26.5021
77.496,0.03,110,26.4612
77.493,0.03,115,26.403
77.494,0.03,120,26.4753
77.492,0.03,125,26.4802
77.49,0.03,130,26.4027
77.495,0.03,135,26.4656
77.494,0.03,140,26.4176
77.488,0.03,145,26.4658
77.492,0.03,150,26.5041
77.496,0.03,155,26.4877
77.49,0.03,160,26.4465
77.49,0.03,165,26.5201
77.493,0.03,170,26.5511
77.49,0.03,175,26.555
77.494,0.03,178,26.476
77.494,0.03,180,26.5241
77.491,0.03,182,26.4851
77.496,0.03,185,26.5144
77.493,0.03,190,26.5412
77.497,0.03,195,26.5656
77.497,0.03,200,26.5901
77.494,0.03,205,26.6061
77.492,0.03,210,26.5817
77.493,0.03,215,26.6245
77.497,0.03,220,26.5778
77.493,0.03,225,26.576
77.492,0.03,230,26.6287
77.5,0.03,235,26.6132
77.499,0.03,240,26.5935
77.503,0.05,-5,25.862
77.501,0.05,-2,25.9289
77.497,0.05,0,25.9396
77.496,0.05,2,25.8977
77.497,0.05,5,25.9493
77.494,0.05,10,25.9438
77.496,0.05,15,25.9475
77.495,0.05,20,26.0017
77.497,0.05,25,25.9807
77.495,0.05,30,25.9395
77.492,0.05,35,25.9191
77.49,0.05,40,25.9017
77.493,0.05,45,25.8559
77.493,0.05,50,25.8389
77.493,0.05,55,25.8233
77.495,0.05,60,25.7197
77.495,0.05,65,25.6712
77.496,0.05,70,25.6537
77.492,0.05,75,25.6239
77.493,0.05,77,25.5806
77.496,0.05,79,25.588
77.493,0.05,81,25.5694
77.49,0.05,83,25.567
77.496,0.05,85,25.5493
77.502,0.05,86,25.5367
77.496,0.05,87,25.5573
77.498,0.05,88,25.5495
77.495,0.05,89,25.5619
77.497,0.05,90,25.5293
77.494,0.05,91,25.5564
77.495,0.05,92,25.5551
77.496,0.05,93,25.5563
77.494,0.05,94,25.5741
77.492,0.05,95,25.5151
77.492,0.05,97,25.5179
77.491,0.05,99,25.5269
77.502,0.05,101,25.546
77.498,0.05,103,25.5628
77.497,0.05,105,25.5278
77.493,0.05,110,25.5062
77.494,0.05,115,25.4826
77.494,0.05,120,25.4713
77.494,0.05,125,25.488
77.494,0.05,130,25.4467
77.486,0.05,135,25.4616
77.493,0.05,140,25.4627
77.491,0.05,145,25.5032
77.493,0.05,150,25.4656
77.493,0.05,155,25.4975
77.494,0.05,160,25.4992
77.491,0.05,165,25.4842
77.489,0.05,170,25.5187
77.496,0.05,175,25.5233
77.486,0.05,178,25.5704
77.499,0.05,180,25.5791
77.493,0.05,182,25.5914
77.493,0.05,185,25.5782
77.493,0.05,190,25.6865
77.495,0.05,195,25.648
77.497,0.05,200,25.7059
77.494,0.05,205,25.6734
77.498,0.05,210,25.6966
77.491,0.05,215,25.7452
77.496,0.05,220,25.657
77.497,0.05,225,25.6387
77.501,0.05,230,25.6677
77.5,0.05,235,25.6068
77.502,0.05,240,25.6035
77.498,0.07,-5,24.8688
77.496,0.07,-2,24.8728
77.498,0.07,0,24.8625
77.494,0.07,2,24.8748
77.498,0.07,5,24.8844
77.496,0.07,10,24.8838
77.493,0.07,15,24.8651
77.496,0.07,20,24.8783
77.496,0.07,25,24.8302
77.494,0.07,30,24.806
77.495,0.07,35,24.7903
77.492,0.07,40,24.7441
77.494,0.07,45,24.6528
77.494,0.07,50,24.6255
77.496,0.07,55,24.5434
77.495,0.07,60,24.4795
77.496,0.07,65,24.4439
77.494,0.07,70,24.3602
77.492,0.07,75,24.3528
77.492,0.07,77,24.3132
77.496,0.07,79,24.3218
77.492,0.07,81,24.2919
77.493,0.07,83,24.3078
77.491,0.07,85,24.3043
77.494,0.07,86,24.3197
77.497,0.07,87,24.2999
77.5,0.07,88,24.2971
77.496,0.07,89,24.3234
77.495,0.07,90,24.3037
77.49,0.07,91,24.3217
77.496,0.07,92,24.3363
77.498,0.07,93,24.2847
77.496,0.07,94,24.3041
77.495,0.07,95,24.3359
77.498,0.07,97,24.3361
77.49,0.07,99,24.3403
77.49,0.07,101,24.339
77.492,0.07,103,24.358
77.487,0.07,105,24.3715
77.472,0.07,110,24.4154
77.478,0.07,115,24.3859
77.473,0.07,120,24.416
77.483,0.07,125,24.3876
77.477,0.07,130,24.4367
77.48,0.07,135,24.4473
77.48,0.07,140,24.4415
77.49,0.07,145,24.4263
77.491,0.07,150,24.3922
77.484,0.07,155,24.4604
77.491,0.07,160,24.4579
77.494,0.07,165,24.442
77.498,0.07,170,24.48
77.506,0.07,175,24.4656
77.521,0.07,178,24.4702
77.516,0.07,180,24.5244
77.515,0.07,182,24.539
77.506,0.07,185,24.56
77.52,0.07,190,24.5498
77.52,0.07,195,24.582
77.511,0.07,200,24.6074
77.51,0.07,205,24.6326
77.506,0.07,210,24.6304
77.499,0.07,215,24.6305
77.499,0.07,220,24.5952
77.495,0.07,225,24.5354
77.495,0.07,230,24.5417
77.501,0.07,235,24.3947
77.5,0.07,240,24.371
77.495,0.1,-5,23.27
77.495,0.1,-2,23.2862
77.49,0.1,0,23.303
77.487,0.1,2,23.2973
77.487,0.1,5,23.2523
77.491,0.1,10,23.2586
77.492,0.1,15,23.2345
77.491,0.1,20,23.2129
77.49,0.1,25,23.1864
77.49,0.1,30,23.1027
77.49,0.1,35,23.0396
77.488,0.1,40,22.9632
77.486,0.1,45,22.879
77.488,0.1,50,22.7842
77.488,0.1,55,22.6881
77.49,0.1,60,22.5787
77.49,0.1,65,22.4748
77.486,0.1,70,22.4262
77.483,0.1,75,22.3991
77.489,0.1,77,22.3625
77.495,0.1,79,22.3463
77.497,0.1,81,22.3684
77.496,0.1,83,22.3641
77.494,0.1,85,22.429
77.498,0.1,86,22.4303
77.501,0.1,87,22.3981
77.5,0.1,88,22.3977
77.505,0.1,89,22.3641
77.504,0.1,90,22.4043
77.5,0.1,91,22.4568
77.503,0.1,92,22.474
77.501,0.1,93,22.4288
77.501,0.1,94,22.5135
77.499,0.1,95,22.4491
77.502,0.1,97,22.4821
77.503,0.1,99,22.4936
77.499,0.1,101,22.572
77.499,0.1,103,22.5502
77.499,0.1,105,22.6114
77.493,0.1,110,22.7166
77.487,0.1,115,22.7411
